"segmentid","street","direction","count_mm"
"26617","MC DONALD AVENUE","SB","483"
"26620","AVENUE O","EB","754"
"26620","AVENUE O","WB","761"
"26751","OCEAN PARKWAY","NB","1426"
"26751","OCEAN PARKWAY","SB","1433"
"26763","OCEAN PARKWAY","SB","758"
"26771","OCEAN PARKWAY","NB","672"
"26771","OCEAN PARKWAY","SB","672"
"26791","OCEAN PARKWAY","NB","672"
"26791","OCEAN PARKWAY","SB","672"
"26834","OCEAN PARKWAY","NB","672"
"26834","OCEAN PARKWAY","SB","672"
"26840","OCEAN PARKWAY","NB","759"
"26846","OCEAN PARKWAY","NB","754"
"26846","OCEAN PARKWAY","SB","760"
"26951","KINGS HIGHWAY","EB","672"
"26953","CONEY ISLAND AVENUE","NB","672"
"26954","KINGS HIGHWAY","WB","672"
"26955","CONEY ISLAND AVENUE","SB","672"
"26960","AVENUE P","EB","752"
"26960","AVENUE P","WB","756"
"26961","CONEY ISLAND AVENUE","NB","758"
"26969","CONEY ISLAND AVENUE","SB","760"
"26974","AVENUE N","EB","756"
"26977","CONEY ISLAND AVENUE","SB","756"
"26980","CONEY ISLAND AVENUE","NB","757"
"27028","AVENUE I","EB","464"
"27030","AVENUE I","WB","463"
"27043","EAST 13 STREET","SB","462"
"27094","KINGS HIGHWAY","EB","672"
"27101","EAST 15 STREET","NB","672"
"27241","KINGS HIGHWAY","WB","672"
"27242","EAST 16 STREET","SB","672"
"27245","AVENUE P","EB","672"
"27251","AVENUE P","WB","672"
"27260","EAST 18 STREET","SB","672"
"27295","OCEAN AVENUE","NB","672"
"27295","OCEAN AVENUE","SB","672"
"27346","EAST 21 STREET","SB","384"
"27353","AVENUE P","EB","672"
"27358","KINGS HIGHWAY","WB","672"
"27386","AVENUE N","EB","380"
"27398","EAST 23 STREET","SB","379"
"27451","AVENUE R","EB","372"
"27452","EAST 24 STREET","NB","371"
"27453","AVENUE R","WB","373"
"27486","EAST 26 STREET","SB","672"
"27814","AVENUE F","EB","390"
"27824","OCEAN PARKWAY","SB","388"
