"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"17976","Queens","2015","2","7","18","15","30","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","18","15","90","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","18","30","92","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","18","30","32","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","18","45","32","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","18","45","90","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","19","0","31","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","19","0","86","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","19","15","110","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","19","15","38","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","19","30","87","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","19","30","24","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","19","45","24","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","19","45","85","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","20","0","81","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","20","0","23","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","20","15","77","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","20","15","27","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","20","30","25","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","20","30","86","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","20","45","78","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","20","45","26","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","21","0","17","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","21","0","69","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","21","15","62","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","21","15","18","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","21","30","91","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","21","30","23","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","21","45","17","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","21","45","79","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","22","0","11","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","22","0","73","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","22","15","27","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","22","15","81","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","22","30","21","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","22","30","78","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
